hgnc_symbol,go_id,name_1006
CLCF1,GO:0008284,positive regulation of cell population proliferation
CLCF1,GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein
CLCF1,GO:0005615,extracellular space
CLCF1,GO:0005576,extracellular region
CLCF1,GO:0005125,cytokine activity
CLCF1,GO:0007166,cell surface receptor signaling pathway
CLCF1,GO:0005515,protein binding
CLCF1,GO:0019221,cytokine-mediated signaling pathway
CLCF1,GO:0005102,signaling receptor binding
CLCF1,GO:0043524,negative regulation of neuron apoptotic process
CLCF1,GO:0005127,ciliary neurotrophic factor receptor binding
CLCF1,GO:0097058,CRLF-CLCF1 complex
CLCF1,GO:0030890,positive regulation of B cell proliferation
CLCF1,GO:0008083,growth factor activity
CLCF1,GO:0030183,B cell differentiation
CLCF1,GO:0048711,positive regulation of astrocyte differentiation
CLCF1,GO:0007259,receptor signaling pathway via JAK-STAT
CLCF1,GO:0097059,CNTFR-CLCF1 complex
CLCF1,GO:0002639,positive regulation of immunoglobulin production
CLCF1,GO:0048295,positive regulation of isotype switching to IgE isotypes
HDAC9,GO:0090050,positive regulation of cell migration involved in sprouting angiogenesis
HDAC9,GO:0042632,cholesterol homeostasis
HDAC9,GO:0005737,cytoplasm
HDAC9,GO:0005634,nucleus
HDAC9,GO:0032869,cellular response to insulin stimulus
HDAC9,GO:0046872,metal ion binding
HDAC9,GO:0016787,hydrolase activity
HDAC9,GO:0006325,chromatin organization
HDAC9,GO:0005515,protein binding
HDAC9,GO:0006954,inflammatory response
HDAC9,GO:0004407,histone deacetylase activity
HDAC9,GO:0016575,histone deacetylation
HDAC9,GO:0032041,NAD-dependent histone deacetylase activity (H3-K14 specific)
HDAC9,GO:0005654,nucleoplasm
HDAC9,GO:0042113,B cell activation
HDAC9,GO:0000118,histone deacetylase complex
HDAC9,GO:0005667,transcription factor complex
HDAC9,GO:0008134,transcription factor binding
HDAC9,GO:0000122,negative regulation of transcription by RNA polymerase II
HDAC9,GO:0045892,"negative regulation of transcription, DNA-templated"
HDAC9,GO:0007507,heart development
HDAC9,GO:0003714,transcription corepressor activity
HDAC9,GO:0035097,histone methyltransferase complex
HDAC9,GO:0042826,histone deacetylase binding
HDAC9,GO:0005080,protein kinase C binding
HDAC9,GO:0030183,B cell differentiation
HDAC9,GO:0070491,repressing transcription factor binding
HDAC9,GO:0050710,negative regulation of cytokine secretion
HDAC9,GO:0033558,protein deacetylase activity
HDAC9,GO:0034983,peptidyl-lysine deacetylation
HDAC9,GO:0070932,histone H3 deacetylation
HDAC9,GO:0070933,histone H4 deacetylation
HDAC9,GO:0048742,regulation of skeletal muscle fiber development
HDAC9,GO:0051005,negative regulation of lipoprotein lipase activity
HDAC9,GO:0034739,histone deacetylase activity (H4-K16 specific)
HDAC9,GO:0051153,regulation of striated muscle cell differentiation
HDAC9,GO:1990678,histone H4-K16 deacetylation
HDAC9,GO:0001975,response to amphetamine
HDAC9,GO:0030182,neuron differentiation
NAA35,GO:0017196,N-terminal peptidyl-methionine acetylation
NAA35,GO:0031417,NatC complex
NAA35,GO:0005737,cytoplasm
NAA35,GO:0043066,negative regulation of apoptotic process
NAA35,GO:0005515,protein binding
NAA35,GO:0005844,polysome
NAA35,GO:0006474,N-terminal protein amino acid acetylation
NAA35,GO:0048659,smooth muscle cell proliferation
NDOR1,GO:0055114,oxidation-reduction process
NDOR1,GO:0016491,oxidoreductase activity
NDOR1,GO:0010181,FMN binding
NDOR1,GO:0003958,NADPH-hemoprotein reductase activity
NDOR1,GO:0005737,cytoplasm
NDOR1,GO:0005654,nucleoplasm
NDOR1,GO:0005829,cytosol
NDOR1,GO:0045111,intermediate filament cytoskeleton
NDOR1,GO:0005515,protein binding
NDOR1,GO:0048471,perinuclear region of cytoplasm
NDOR1,GO:0050660,flavin adenine dinucleotide binding
NDOR1,GO:0016226,iron-sulfur cluster assembly
NDOR1,GO:0008219,cell death
NDOR1,GO:0050661,NADP binding
NDOR1,GO:0016651,"oxidoreductase activity, acting on NAD(P)H"
