logFC,AveExpr,t,P.Value,adj.P.Val,B,probeID,CpG_chrm,gene,gene_HGNC
33.21585210457041,3.803821409742508,6.749530680369667,1.496099841416414e-8,0.006699651407425144,-4.549659359656073,cg01229519,chr9,ABCA2,ABCA2
26.493951610395627,3.7345587804474443,6.740143007593374,1.5475155671824497e-8,0.006699651407425144,-4.54972840144531,cg10924085,chr10,INPP5A,INPP5A
-26.265805980767816,-5.175425001491841,-6.612450754301941,2.4502531348340444e-8,0.00707191243024757,-4.5506761443825825,cg15400731,chr3,NUDT16;RP11-933H2.4,NUDT16;RP11-933H2.4
23.82627387803579,3.00424301521309,5.88189424077261,3.3637118438085745e-7,0.054415323076489934,-4.556399771709599,cg09628931,chr11,ARL2-SNX15;SNX15,ARL2-SNX15;SNX15
28.163409485477217,4.8781558229803395,5.840632665108014,3.8964728111501075e-7,0.054415323076489934,-4.556737738544257,cg13681781,chr9,QSOX2,QSOX2
54.88851013540504,2.9191021171759317,5.779973229765848,4.835365460287688e-7,0.054415323076489934,-4.557237290999687,cg05634534,chrX,NA,NA
22.688972001350887,3.7244931015909146,5.77734672869936,4.880740768888002e-7,0.054415323076489934,-4.55725899315003,cg04682332,chr7,COBL,COBL
27.16567512324476,3.4031544999935868,5.7612198849037695,5.168761362035407e-7,0.054415323076489934,-4.557392375399737,cg03630479,chr16,E4F1,E4F1
29.452483994175843,4.704532476612548,5.731643931813715,5.741510246902077e-7,0.054415323076489934,-4.557637571219967,cg15209419,chr1,CHIT1,CHIT1
-25.422150627455707,-4.717596879832964,-5.706191251827969,6.284547839369913e-7,0.054415323076489934,-4.557849178790812,cg14506646,chr3,NUDT16;RP11-933H2.4,NUDT16;RP11-933H2.4
